,0,1,2,3,4,5
0,Ingredient,Average,Min,Max,SD,Variance
1,greek,10.18,1,27,3.7294610369244876,13.908879625937875
2,southern_us,9.63,1,40,3.8694043912265648,14.972290342843422
3,filipino,10,2,38,3.8551354017099375,14.862068965517242
4,indian,12.71,1,49,5.0168059765469195,25.16834220631689
5,jamaican,12.21,2,35,4.763896831196827,22.694713018287164
6,spanish,10.42,1,35,4.1609188039865375,17.313245293368755
7,italian,9.91,1,65,3.8067075189305783,14.491022134682598
8,mexican,10.88,1,52,4.6601831519075505,21.717307009322994
9,chinese,11.98,2,38,4.042125133064756,16.33877559135377
10,british,9.71,2,30,4.165011040125667,17.34731696436869
11,thai,12.55,1,40,4.411794134174698,19.463927482338267
12,vietnamese,12.68,1,31,5.256173047421716,27.627355104442483
13,cajun_creole,12.62,2,31,4.611601325613868,21.26686678640358
14,brazilian,9.52,2,59,5.555138506901757,30.85956383086269
15,french,9.82,1,31,4.144744002792465,17.178902848684107
16,japanese,9.74,1,34,4.245881612472165,18.02751066712923
17,irish,9.3,2,27,3.7005051974328413,13.693738716227472
18,korean,11.28,2,29,3.8788804276731668,15.04571337218597
19,moroccan,12.91,2,31,4.799813269394036,23.03820742105107
20,russian,10.22,2,25,4.0512231566532915,16.412409065003857
